,id,username,text,date,predict
9007,1285952155178995714,venomfpstweets,crying venomfps venomnation callofduty cod cod2020 modernwarfare blackops halo gears5 fortnite apexlegends titanfall battlefield gtav forza xbox xboxseriesx xboxone playstation,2020-07-22 10:57:40 EDT,NEGATIVE
9644,1286431593595314176,spartakei,love chief shot brute leg stumbled chief killed haloinfinite,2020-07-23 18:42:47 EDT,NEGATIVE
1370,1287744993948401664,brutecraig,halo sucks buy ask daddy phil make game haloinfinite haloinfinitememes halo halomemes craig craigthebrute craigmemes halosucks xbox xboxmemes stopreadingthese buyaplaystion youstillhere youreanolifer pic twitter com h3qzmlgjax,2020-07-27 09:41:46 EDT,NEGATIVE
1447,1287671871786422273,medievaltrauma,ode broken feel feeling feeling craves simple touch yet one halo poetry,2020-07-27 04:51:12 EDT,NEGATIVE
6949,1286384560222150662,chas_mke,damn halo really said turn discourse lmao,2020-07-23 15:35:53 EDT,NEGATIVE
1886,1287382075260260352,thatxboxgamer,halo infinite reception engagement massive success pull numbers people hate product haloinfinite xboxseriesx xbox halo pic twitter com ylsag1gq8c,2020-07-26 09:39:39 EDT,NEGATIVE
243,1288463245351759873,ora4ever117,course hell stable build time worried halo haloinfinite,2020-07-29 09:15:50 EDT,NEGATIVE
10652,1286396605353136139,gusthoughts,finally got chance watch haloinfinite demo looks really good naysayers remember demo unfinished game build could months old know new engine looks great graphics everything terrible,2020-07-23 16:23:45 EDT,NEGATIVE
238,1288465614156292102,gorgeoustips11,purple sparkle missjulesbeauty glitternails bolsovernails gelnails halo purenailsuk miss jules beauty,2020-07-29 09:25:15 EDT,NEGATIVE
10225,1286409804941066240,nathanielshinn,like haloinfinite took pointers halo 3 equipment pick ups like thrusterpacks groundpound like look like halo 5,2020-07-23 17:16:12 EDT,NEGATIVE
2467,1287031868194398208,scifiguy_117,shame 343 reacted fans screamed yelled like halo 4 campaign got halo 5 dropped nearly everything halo 4 set infinite direct response backlash halo 5 halo haloinfinite,2020-07-25 10:28:03 EDT,NEGATIVE
7242,1286357129104957440,playerstoo,solid xboxgamesshowcase think xbox basically halo gameplay fable reveal felt vital glad got avowed exciting project shame get hellblade gameplay tho think showcase overall pic twitter com 15kntpax7b,2020-07-23 13:46:53 EDT,NEGATIVE
1968,1287265686323109888,arteaux87,back roots halo mcc twitchtv xbox dang late,2020-07-26 01:57:10 EDT,NEGATIVE
7977,1286321582751834115,justingomez140,halo infinite sprint cry sleep tonight haloinfinite halo,2020-07-23 11:25:38 EDT,NEGATIVE
12017,1286363991988723712,zzz_exe,fuck haloinfinite pic twitter com mkcekmrmkl,2020-07-23 14:14:09 EDT,NEGATIVE
11746,1286368967754276864,ben101youtube,xbox fans always talked graphics super important haloinfinite dropped looking like 360 game suddenly graphics matter lmao,2020-07-23 14:33:56 EDT,NEGATIVE
